iter	Passed	Remaining
0	13	4105
1	25	3791
2	38	3779
3	49	3682
4	61	3618
5	71	3516
6	81	3411
7	91	3347
8	102	3302
9	112	3257
10	123	3235
11	133	3195
12	143	3157
13	151	3098
14	161	3061
15	171	3039
16	180	3005
17	190	2977
18	199	2945
19	207	2906
20	216	2882
21	225	2854
22	233	2817
23	241	2782
24	250	2753
25	258	2727
26	267	2705
27	275	2676
28	284	2655
29	286	2576
30	295	2562
31	297	2493
32	306	2483
33	315	2471
34	324	2455
35	332	2439
36	341	2425
37	350	2416
38	352	2360
39	361	2351
40	370	2343
41	379	2331
42	387	2318
43	397	2310
44	406	2303
45	416	2300
46	425	2291
47	434	2281
48	443	2273
49	452	2262
50	462	2256
51	472	2251
52	482	2246
53	492	2244
54	503	2241
55	513	2236
56	523	2232
57	534	2228
58	544	2223
59	553	2214
60	563	2206
61	572	2199
62	582	2190
63	592	2184
64	601	2176
65	610	2164
66	619	2155
67	628	2145
68	638	2138
69	648	2132
70	659	2126
71	670	2122
72	681	2118
73	691	2111
74	701	2104
75	711	2096
76	721	2088
77	730	2078
78	739	2068
79	748	2057
80	757	2049
81	766	2039
82	776	2029
83	784	2018
84	793	2008
85	802	1996
86	811	1987
87	820	1977
88	829	1967
89	838	1957
90	846	1945
91	855	1935
92	863	1923
93	872	1911
94	880	1900
95	889	1890
96	897	1878
97	905	1866
98	913	1855
99	923	1846
100	931	1834
101	940	1825
102	948	1813
103	956	1802
104	964	1791
105	972	1780
106	981	1769
107	990	1760
108	998	1750
109	1007	1740
110	1016	1730
111	1025	1720
112	1034	1711
113	1043	1702
114	1052	1693
115	1062	1684
116	1071	1675
117	1080	1666
118	1089	1657
119	1098	1647
120	1106	1637
121	1115	1627
122	1123	1617
123	1132	1606
124	1140	1596
125	1149	1587
126	1158	1577
127	1167	1568
128	1175	1557
129	1184	1548
130	1192	1538
131	1200	1528
132	1209	1518
133	1218	1509
134	1226	1499
135	1234	1489
136	1244	1480
137	1253	1471
138	1261	1461
139	1270	1452
140	1280	1443
141	1289	1434
142	1299	1426
143	1309	1418
144	1319	1409
145	1329	1402
146	1340	1394
147	1349	1386
148	1360	1378
149	1370	1370
150	1381	1362
151	1391	1355
152	1401	1346
153	1411	1338
154	1422	1330
155	1432	1322
156	1442	1313
157	1452	1305
158	1462	1296
159	1471	1287
160	1481	1279
161	1491	1270
162	1501	1261
163	1510	1252
164	1520	1243
165	1529	1234
166	1539	1226
167	1549	1217
168	1558	1208
169	1568	1199
170	1578	1190
171	1587	1181
172	1596	1172
173	1605	1162
174	1615	1153
175	1624	1144
176	1633	1135
177	1642	1125
178	1652	1117
179	1662	1108
180	1671	1098
181	1680	1089
182	1689	1080
183	1698	1070
184	1705	1060
185	1714	1050
186	1723	1041
187	1733	1032
188	1743	1024
189	1753	1014
190	1763	1006
191	1772	997
192	1782	988
193	1791	979
194	1800	969
195	1810	960
196	1819	951
197	1828	941
198	1837	932
199	1846	923
200	1855	913
201	1864	904
202	1873	895
203	1881	885
204	1890	876
205	1899	866
206	1907	857
207	1916	847
208	1925	838
209	1934	828
210	1943	819
211	1952	810
212	1962	801
213	1971	792
214	1981	783
215	1992	774
216	2003	766
217	2014	757
218	2024	748
219	2034	739
220	2045	731
221	2055	722
222	2065	713
223	2076	704
224	2087	695
225	2096	686
226	2107	677
227	2117	668
228	2126	659
229	2136	650
230	2145	640
231	2154	631
232	2163	622
233	2173	613
234	2183	604
235	2193	594
236	2202	585
237	2212	576
238	2221	567
239	2230	557
240	2239	548
241	2247	538
242	2256	529
243	2265	519
244	2274	510
245	2282	500
246	2290	491
247	2299	482
248	2308	472
249	2317	463
250	2325	453
251	2333	444
252	2342	435
253	2349	425
254	2358	416
255	2367	406
256	2378	397
257	2387	388
258	2398	379
259	2408	370
260	2418	361
261	2428	352
262	2438	343
263	2449	334
264	2459	324
265	2469	315
266	2481	306
267	2492	297
268	2501	288
269	2512	279
270	2522	269
271	2532	260
272	2543	251
273	2554	242
274	2565	233
275	2577	224
276	2587	214
277	2598	205
278	2609	196
279	2619	187
280	2631	177
281	2641	168
282	2652	159
283	2664	150
284	2674	140
285	2684	131
286	2695	122
287	2706	112
288	2717	103
289	2728	94
290	2739	84
291	2750	75
292	2762	65
293	2773	56
294	2783	47
295	2795	37
296	2807	28
297	2817	18
298	2827	9
299	2838	0
